GEOID,NAME,total_incomeE,total_incomeM,ratio_halfE,ratio_halfM,ratio_oneE,ratio_oneM,med_grs_rentE,med_grs_rentM
"24510270801","Census Tract 2708.01, Baltimore city, Maryland",4399,365,459,333,215,186,1168,254
"24510271700","Census Tract 2717, Baltimore city, Maryland",4899,568,758,328,342,187,933,72
"24510280200","Census Tract 2802, Baltimore city, Maryland",4803,585,364,319,747,339,1094,306
"24510280301","Census Tract 2803.01, Baltimore city, Maryland",3830,439,452,244,592,262,940,34
"24510160801","Census Tract 1608.01, Baltimore city, Maryland",3457,501,623,337,421,209,1022,87
"24510160802","Census Tract 1608.02, Baltimore city, Maryland",3322,342,701,295,307,182,1356,112
"24510060300","Census Tract 603, Baltimore city, Maryland",1783,179,254,148,175,92,1334,108
"24510080101","Census Tract 801.01, Baltimore city, Maryland",3729,389,324,211,191,164,1151,116
"24510080302","Census Tract 803.02, Baltimore city, Maryland",2763,326,64,62,895,365,846,85
"24510080500","Census Tract 805, Baltimore city, Maryland",1604,267,94,86,395,207,1187,251
"24510120500","Census Tract 1205, Baltimore city, Maryland",2075,311,307,156,289,145,925,85
"24510130300","Census Tract 1303, Baltimore city, Maryland",2123,328,267,177,272,122,1051,114
"24510130803","Census Tract 1308.03, Baltimore city, Maryland",2369,283,77,53,44,34,1046,52
"24510140100","Census Tract 1401, Baltimore city, Maryland",4263,392,439,295,428,178,826,186
"24510150500","Census Tract 1505, Baltimore city, Maryland",1928,345,283,324,305,168,866,88
"24510010400","Census Tract 104, Baltimore city, Maryland",2264,336,81,48,41,31,1683,224
"24510020200","Census Tract 202, Baltimore city, Maryland",2079,379,71,44,261,177,1021,142
"24510030100","Census Tract 301, Baltimore city, Maryland",3077,489,1045,409,650,367,342,53
"24510030200","Census Tract 302, Baltimore city, Maryland",2528,327,420,254,131,80,1524,532
"24510070100","Census Tract 701, Baltimore city, Maryland",2903,437,382,148,421,181,1129,82
